Scan Type,Description,Selected,Lock Edit,Vertex Count,Vertex List,Preablation Settings,Ablation Settings,Data
Spot,MT1,1,0,1,"46474.00,48019.00,16183.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,R331,1,0,1,"44974.00,45680.00,16187.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,SLF1,1,0,1,"38365.00,48652.50,16187.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,TEM1,1,0,1,"39754.50,54098.00,16179.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,FC-11,1,0,1,"42982.00,55477.50,16183.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,915001,1,0,1,"50180.00,56329.00,16187.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,PLES1,1,0,1,"51775.00,48640.00,16195.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,MT2,1,0,1,"46684.00,48116.00,16183.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,R332,1,0,1,"44894.00,45994.00,16187.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
Spot,SLF2,1,0,1,"38239.50,48725.50,16187.00",Dosage=1;DwellTime=1.00;LineSpacing=100.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=7.00;ScanSpeed=5.00;PassEnabled=0;ShotCount=10;SpotSpacing=100.00;Laser.SpotSize=15�m Circle;Laser.SpotRotation=0.00,Dosage=0;DwellTime=1.00;LineSpacing=0.00;Laser.Output=100.00;Laser.Fluence=10.59;LineScanMode=1;PassCount=1;Laser.RepRate=8.00;ScanSpeed=0.00;PassEnabled=1;ShotCount=520;SpotSpacing=0.00;Laser.SpotSize=40�m Circle;Laser.SpotRotation=0.00,
